PrimerName  Pool  RealtiveConc
nCoV-2019_20_RIGHT	pool_2	1
nCoV-2019_22_LEFT	pool_2	1
nCoV-2019_22_RIGHT	pool_2	1
nCoV-2019_24_LEFT	pool_2	1
nCoV-2019_24_RIGHT	pool_2	1
nCoV-2019_26_LEFT	pool_2	1
nCoV-2019_26_RIGHT	pool_2	1
nCoV-2019_28_LEFT	pool_2	1
nCoV-2019_28_RIGHT	pool_2	1
nCoV-2019_30_LEFT	pool_2	1
nCoV-2019_30_RIGHT	pool_2	1
nCoV-2019_32_LEFT	pool_2	1
nCoV-2019_32_RIGHTv2	pool_2	1
nCoV-2019_34_LEFT	pool_2	1
nCoV-2019_34_RIGHT	pool_2	1
nCoV-2019_34_RIGHT_b11529a	pool_2	1
nCoV-2019_36_LEFTv2	pool_2	1
nCoV-2019_36_RIGHT	pool_2	1
nCoV-2019_38_LEFT	pool_2	1
nCoV-2019_38_RIGHTv2	pool_2	1
nCoV-2019_40_LEFT	pool_2	1
nCoV-2019_40_RIGHT	pool_2	1
nCoV-2019_42_LEFT	pool_2	1
nCoV-2019_42_RIGHT	pool_2	1
nCoV-2019_44_LEFT	pool_2	1
nCoV-2019_44_RIGHT	pool_2	1
nCoV-2019_46_LEFT	pool_2	1
nCoV-2019_46_RIGHT	pool_2	1
nCoV-2019_48_LEFT	pool_2	1
nCoV-2019_48_RIGHT	pool_2	1
nCoV-2019_50_LEFT	pool_2	1
nCoV-2019_50_RIGHT	pool_2	1
nCoV-2019_52_LEFT	pool_2	1
nCoV-2019_52_RIGHT	pool_2	1
nCoV-2019_54_LEFT	pool_2	1
nCoV-2019_54_RIGHT	pool_2	1
nCoV-2019_56_LEFT	pool_2	1
nCoV-2019_56_RIGHT	pool_2	1
nCoV-2019_58_LEFT	pool_2	1
nCoV-2019_58_RIGHT	pool_2	1
nCoV-2019_60_LEFT	pool_2	1
nCoV-2019_60_RIGHT	pool_2	1
nCoV-2019_62_LEFT	pool_2	1
nCoV-2019_62_RIGHT	pool_2	1
nCoV-2019_64_LEFT	pool_2	2
nCoV-2019_64_RIGHT	pool_2	2
nCoV-2019_66_LEFTv2	pool_2	1
nCoV-2019_66_RIGHT	pool_2	1
nCoV-2019_68_LEFT	pool_2	1
nCoV-2019_68_RIGHT	pool_2	1
nCoV-2019_70_LEFT	pool_2	1
nCoV-2019_70_RIGHT	pool_2	1
nCoV-2019_72_LEFT	pool_2	1
nCoV-2019_72_RIGHT	pool_2	1
nCoV-2019_72_RIGHT_b16172a	pool_2	1
nCoV-2019_74_LEFT	pool_2	2
nCoV-2019_74_RIGHT	pool_2	2
nCoV-2019_76_LEFT	pool_2	1
nCoV-2019_76_LEFT_b11529a	pool_2	1
nCoV-2019_76_RIGHTv2	pool_2	1
nCoV-2019_78_LEFT	pool_2	1
nCoV-2019_78_RIGHT	pool_2	1
nCoV-2019_80_LEFT	pool_2	1
nCoV-2019_80_RIGHT	pool_2	1
nCoV-2019_82_LEFT	pool_2	1
nCoV-2019_82_RIGHT	pool_2	1
nCoV-2019_84_LEFT	pool_2	1
nCoV-2019_84_RIGHT	pool_2	1
nCoV-2019_86_LEFT	pool_2	1
nCoV-2019_86_RIGHT	pool_2	1
nCoV-2019_88_LEFT	pool_2	1
nCoV-2019_88_RIGHT	pool_2	1
nCoV-2019_90_LEFT	pool_2	1
nCoV-2019_90_RIGHT	pool_2	1
nCoV-2019_92_LEFT	pool_2	1
nCoV-2019_92_LEFT_b11529a	pool_2	1
nCoV-2019_92_RIGHT	pool_2	1
nCoV-2019_94_LEFT	pool_2	1
nCoV-2019_94_RIGHT	pool_2	1
nCoV-2019_96_LEFT	pool_2	1
nCoV-2019_96_RIGHT	pool_2	1
nCoV-2019_98_LEFT	pool_2	1
nCoV-2019_98_RIGHT	pool_2	1
